,2760_Don_Giovanni_K_527_-_Overture.wav,2965_fantasie_in_c_major_d_934_a9b2ca46.wav,3016_nocturne_op_32_no_1_in_b_major.wav,3097_giovanni_battista_concerto.wav,"8_Piano_Pieces,_Op_76_4_Intermezzo.wav",Four_Seasons_Violin_Concerto_in.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 1.wav,J.S Bach - La passion Selon Saint Matthieu - 1st Partie - 4.wav,J.S Bach - La passion Selon Saint Matthieu - 2nd Partie - 2.wav,PMLP245338-gabrielli_suite_m1.wav,Rossini - overture_to_william_tell (1).wav,Rossini - overture_to_william_tell.wav,"Sentimental waltz, no. 6 from Op. 51.wav",Swan Lake Op.20 - Act I Intro.wav,Swan Lake Op.20 - Act II Pt.1.wav,"Symphony_No_6_in_B_minor,_Op_74.wav","Trio for Piano, Flute and Bassoon.wav","What_shall_I_make_of_you,_Ephraim.wav",piano-concerto-no1-in-g-minor.wav
1969,1103.245984,1415.392664,700.7026319,1777.834115,473.8054488,2303.304732,1797.649241,1590.025739,1352.645626,2329.587502,607.7934952,607.7934952,1716.277755,1645.387425,1590.750354,2425.395297,1353.955073,3406.79124,983.9510208
1970,1093.268813,1161.948922,702.3218942,1598.167041,498.2294154,2411.356828,1775.744855,1643.907514,1303.171046,2414.713112,622.8913998,622.8913998,1747.445476,1609.569781,1539.652063,2327.556994,1423.011126,3286.564411,979.9674439
1971,1112.95827,1122.855346,680.6657096,1466.017552,504.3915958,2393.021321,1736.633287,1569.286441,1223.686315,2471.898804,634.4280393,634.4280393,1653.291981,1670.058512,1630.630266,2254.569997,1374.099659,2993.75432,957.1572927
1972,1171.387516,1127.42423,640.3310898,1555.043554,535.748633,2392.792967,1637.497083,1553.133193,1268.131066,2396.710393,633.3225649,633.3225649,1814.205096,1669.366199,1637.817841,2236.789256,1401.793799,2349.722591,913.2908269
1973,1234.946742,1097.38296,630.5735197,1648.536627,489.8273605,2573.361137,1591.893142,1500.847726,1409.027743,2228.965971,640.2533978,640.2533978,1870.834119,1749.903995,1619.05134,2180.194085,1418.52367,1570.06718,932.5719561
1974,1222.813694,1169.812623,671.8714916,1779.667719,475.5073762,2533.931941,1692.119476,1519.824346,1434.005004,2163.881804,648.6673784,648.6673784,1725.09921,1716.759313,1567.409114,2121.886475,1334.56883,1333.419211,1008.493062
1975,1223.022746,1239.965454,689.9897441,1741.119438,477.474455,2463.007927,1707.710071,1565.855844,1401.367686,2181.753953,651.1300616,651.1300616,1790.802236,1725.942709,1648.54423,2073.541448,1319.840167,1334.20822,1117.903227
1976,1189.794427,1206.997384,676.6946259,1637.415883,475.4255515,2436.527285,1658.642766,1654.859665,1474.067447,2295.478392,670.4975274,670.4975274,1899.056686,1707.12252,1595.163781,2117.704592,1408.317682,1320.188053,1251.322549
1977,1147.850962,1109.201452,656.7543229,1612.727114,439.6762406,2424.271922,1684.061641,1566.158564,1359.690272,2380.167369,691.8230488,691.8230488,1646.971062,1643.287926,1545.648704,2237.015361,1426.892069,1327.746578,1277.620277
1978,1116.990974,1154.727109,655.8347271,1599.78807,423.4063187,2323.750926,1676.006547,1510.973852,1299.173789,2356.524999,701.6883263,701.6883263,1551.339426,1711.00916,1485.082803,2153.655005,1339.674088,1200.276827,1269.840372
